Date,WT,DO,pH,EC,ORP
2021-11-24,20.7,7.1,8.6,112.4,114.5
2021-12-01,20.4,7.37,8.78,109.6,133.58
2021-12-08,19.4,6.31,9.6,101.7,130.9
2021-12-16,20,8.99,10,81.81,227.9
2021-12-23,19.2,9.91,9.87,104.2,253.9
2021-12-30,18.3,10.16,9.92,93.07,174.4
2022-01-06,18.2,10.83,9.88,105.09,210.6
2022-01-13,17.4,10.12,9.66,101.5,305.7
2022-01-20,18.2,11.82,9.93,103.66,214.6
2022-01-27,19.6,10.04,9.66,104.36,252.5
2022-02-03,17.6,9.96,9.48,104.8,466.6
2022-02-10,18.7,9.55,8.39,108.62,369.8
2022-02-18,18.5,9.14,9.44,108.98,263.3
2022-02-25,17.1,9.86,8.57,105,336.2
2022-03-05,19.8,12.04,9.95,111.99,163.9
2022-03-12,20.3,9.58,9.84,118.19,231.8
2022-03-19,21.9,7.02,9.61,125.91,210.5
2022-03-26,22.2,5.31,7.47,135.97,473.2
2022-04-01,22.9,7.07,8.7,137.18,302.1
2022-04-08,21.6,8.92,8.78,130.94,177.3
2022-04-15,23.2,8.41,9.65,130.5,125.4
2022-04-22,22.4,7,9.71,136.7,168.1
2022-04-29,25.4,8.76,9.83,149.03,147.8
2022-05-05,23.5,8.16,10.65,141.8,239.9
2022-05-12,23.8,4.2,9.67,146.06,283.1
2022-05-18,22.8,3.51,10.07,144.35,380.8
2022-05-25,23.6,7.69,10.71,126.7,127.9
2022-06-01,25.2,8.12,10.74,111.3,100.9
2022-06-07,25.5,9.91,10.54,143.94,80.9
2022-06-13,25.4,11.16,10.81,136.54,103.4
2022-06-20,25.6,11.24,9.79,133.52,79.4
2022-06-27,27,7.84,9.45,154.75,74
2022-07-04,26.5,6.92,9.5,132.19,71.7
2022-07-10,27.3,6.72,9.47,149.91,80.4
2022-07-17,26.5,8.52,9.25,123.4,114.4
2022-07-25,30.7,9.05,9.24,158.58,83.2
2022-08-08,27.1,9.59,9.21,139.29,346.5
2022-08-16,27.2,10.14,9.09,135.49,311.5
2022-08-22,28.6,9.71,8.83,116.11,125.5
2022-08-29,27,10.13,8.46,111.77,93.7
2022-09-05,24.7,11.24,9.33,149,373.6
2022-09-12,25,8.94,8.45,140.1,140.2
2022-09-17,25.9,8.37,8.54,132.88,99
2022-09-25,25.3,9.38,8.28,125.17,82.1
2022-10-01,26.9,9.84,8.81,152.72,74.5
2022-10-08,25.6,9.95,7.94,144.6,101.1
2022-10-16,24.1,10.11,8.29,140.46,262.6
